,name,size,time
0,Sequential,100,8.048899871937465e-05
1,Numpy,100,0.00024347699945792556
2,Thread,100,0.0008253489995695418
3,Process,100,0.12212456199995358
4,Sequential,1000,0.0006944390006538015
5,Numpy,1000,0.000510863999807043
6,Thread,1000,0.025459714999669814
7,Process,1000,0.1409493510000175
8,Sequential,10000,0.007394981999823358
9,Numpy,10000,0.0022408249988075113
10,Thread,10000,0.038555281000299146
11,Process,10000,0.13217148999865458
14,Thread,100000,0.013771178000752116
15,Process,100000,0.13355161899926316
12,Sequential,100000,0.07220075899931544
13,Numpy,100000,0.027208477999010938
16,Sequential,1000000,0.7197917249995953
17,Numpy,1000000,0.13036958199882065
18,Thread,1000000,0.11997202200109314
19,Process,1000000,0.2529182739999669
27,Process,2000000,0.3849457190008252
26,Thread,2000000,0.233545631999732
24,Sequential,2000000,1.4056522560003941
25,Numpy,2000000,0.2512738130008074
29,Numpy,5000000,0.6267134819991043
28,Sequential,5000000,3.3113089940015925
31,Process,5000000,0.7971707169999718
30,Thread,5000000,0.5878386550011783
21,Numpy,10000000,1.2548943019992294
20,Sequential,10000000,6.738161770999795
23,Process,10000000,1.5042819290010812
22,Thread,10000000,1.1620574709995708
